TradeID,ScripName,Type,Side,SellDateTime,BuyDateTime,SellPrice,BuyPrice,PnL,ExitReason
41,MIDCPNIFTY23OCT9200CE,CE,SHORT,2023-10-18 14:00:00,2023-10-19 09:30:00,58.0,29.75,3390.0,TARGET_LTP_30
42,MIDCPNIFTY23OCT9000PE,PE,SHORT,2023-10-19 14:00:00,2023-10-20 10:15:00,61.05,81.15,-2412.0,EMA_REVERSAL_SL
43,MIDCPNIFTY23OCT9100CE,CE,SHORT,2023-10-20 14:00:00,2023-10-20 15:10:00,30.15,29.0,138.0,TARGET_LTP_30
44,MIDCPNIFTY23OCT9100CE,CE,SHORT,2023-10-20 15:15:00,2023-10-20 15:20:00,28.6,29.65,-126.0,TARGET_LTP_30
45,MIDCPNIFTY23OCT9100CE,CE,SHORT,2023-10-20 15:25:00,2023-10-23 09:30:00,30.35,27.05,396.0,TARGET_LTP_30
46,MIDCPNIFTY24JAN10300CE,CE,SHORT,2023-12-26 14:00:00,2023-12-29 12:40:00,200.0,246.55,-5586.0,EMA_REVERSAL_SL
47,MIDCPNIFTY24JAN10400CE,CE,SHORT,2023-12-29 15:00:00,2024-01-10 10:00:00,180.0,186.8,-816.0,EMA_REVERSAL_SL
48,MIDCPNIFTY24JAN10500CE,CE,SHORT,2024-01-10 14:00:00,2024-01-11 09:15:00,110.0,180.0,-8400.0,EMA_REVERSAL_SL
49,MIDCPNIFTY24JAN10500CE,CE,SHORT,2024-01-11 14:10:00,2024-01-12 10:30:00,146.0,170.7,-2964.0,EMA_REVERSAL_SL
50,MIDCPNIFTY24JAN10500PE,PE,SHORT,2024-01-12 14:05:00,2024-01-16 12:45:00,159.55,132.0,3306.0,EMA_REVERSAL_SL
51,MIDCPNIFTY24JAN10700CE,CE,SHORT,2024-01-16 14:00:00,2024-01-18 09:45:00,83.3,28.8,6540.0,TARGET_LTP_30
52,MIDCPNIFTY24JAN10500PE,PE,SHORT,2024-01-19 14:00:00,2024-01-23 10:35:00,145.35,128.5,2022.0,EMA_REVERSAL_SL
53,MIDCPNIFTY24FEB10800CE,CE,SHORT,2024-02-01 14:20:00,2024-02-02 13:50:00,164.8,205.0,-4824.0,EMA_REVERSAL_SL
54,MIDCPNIFTY24FEB10900PE,PE,SHORT,2024-02-08 14:20:00,2024-02-09 10:25:00,164.1,299.0,-16188.0,EMA_REVERSAL_SL
55,MIDCPNIFTY24FEB10800CE,CE,SHORT,2024-02-13 14:55:00,2024-02-14 14:20:00,112.5,121.0,-1020.0,EMA_REVERSAL_SL
56,MIDCPNIFTY24FEB10800PE,PE,SHORT,2024-02-15 14:00:00,2024-02-21 09:40:00,126.2,27.45,11850.0,TARGET_LTP_30
57,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 14:00:00,2024-02-21 14:05:00,30.2,29.15,126.0,TARGET_LTP_30
58,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 14:10:00,2024-02-21 14:20:00,27.05,23.4,438.0,TARGET_LTP_30
59,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 14:25:00,2024-02-21 14:30:00,24.85,23.9,114.0,TARGET_LTP_30
60,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 14:35:00,2024-02-21 14:40:00,20.45,22.5,-246.0,TARGET_LTP_30
61,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 14:45:00,2024-02-21 14:50:00,20.7,19.2,180.0,TARGET_LTP_30
62,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 14:55:00,2024-02-21 15:00:00,20.05,20.8,-90.0,TARGET_LTP_30
63,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 15:05:00,2024-02-21 15:10:00,25.05,24.65,48.0,TARGET_LTP_30
64,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 15:15:00,2024-02-21 15:20:00,19.7,18.95,90.0,TARGET_LTP_30
65,MIDCPNIFTY24FEB11100CE,CE,SHORT,2024-02-21 15:25:00,2024-02-22 09:15:00,18.4,21.7,-396.0,ROLLOVER_EXIT
66,MIDCPNIFTY24APR10300PE,PE,SHORT,2024-03-26 14:00:00,2024-04-16 13:35:00,150.0,42.75,12870.0,EMA_REVERSAL_SL
67,MIDCPNIFTY24APR10800CE,CE,SHORT,2024-04-16 14:00:00,2024-04-18 10:35:00,153.8,170.1,-1956.0,EMA_REVERSAL_SL
68,MIDCPNIFTY24APR10800PE,PE,SHORT,2024-04-18 14:00:00,2024-04-18 14:50:00,115.05,163.65,-5832.0,EMA_REVERSAL_SL
69,MIDCPNIFTY24APR10900CE,CE,SHORT,2024-04-18 14:55:00,2024-04-23 10:15:00,82.65,42.0,4878.0,EMA_REVERSAL_SL
70,MIDCPNIFTY24MAY10800CE,CE,SHORT,2024-04-23 14:25:00,2024-04-30 09:15:00,229.0,401.0,-20640.0,EMA_REVERSAL_SL
71,MIDCPNIFTY24MAY11000PE,PE,SHORT,2024-04-30 14:00:00,2024-04-30 15:00:00,158.0,199.5,-4980.0,EMA_REVERSAL_SL
72,MIDCPNIFTY24MAY11100CE,CE,SHORT,2024-05-07 14:00:00,2024-05-08 12:55:00,77.7,145.2,-8100.0,EMA_REVERSAL_SL
73,MIDCPNIFTY24MAY10900PE,PE,SHORT,2024-05-09 14:00:00,2024-05-09 14:35:00,205.5,220.5,-1800.0,EMA_REVERSAL_SL
74,MIDCPNIFTY24MAY11000CE,CE,SHORT,2024-05-09 14:40:00,2024-05-10 11:55:00,91.2,119.5,-3396.0,EMA_REVERSAL_SL
