TradeID,ScripName,BuyDateTime,SellDateTime,BuyPrice,SellPrice,PnL,ExitReason
19,MIDCPNIFTY23OCT9200PE,2023-10-17 15:20:00,2023-10-18 09:20:00,110.3,117.1,816.0,EMA_REVERSAL
20,MIDCPNIFTY23OCT9100CE,2023-10-19 14:50:00,2023-10-19 15:25:00,67.95,67.0,-114.0,EMA_REVERSAL
21,MIDCPNIFTY23OCT9000PE,2023-10-20 15:15:00,2023-10-23 14:00:00,77.1,167.4,10836.0,EMA_REVERSAL
22,MIDCPNIFTY24JAN10300CE,2023-12-26 15:20:00,2023-12-27 12:10:00,200.0,200.0,0.0,EMA_REVERSAL
23,MIDCPNIFTY24JAN10400CE,2023-12-28 14:50:00,2023-12-29 10:10:00,180.0,180.0,0.0,EMA_REVERSAL
24,MIDCPNIFTY24JAN10400CE,2023-12-29 14:55:00,2024-01-01 15:10:00,180.0,180.0,0.0,EMA_REVERSAL
25,MIDCPNIFTY24JAN10500CE,2024-01-02 15:15:00,2024-01-03 09:20:00,173.55,173.55,0.0,EMA_REVERSAL
26,MIDCPNIFTY24JAN10500CE,2024-01-11 14:55:00,2024-01-16 11:40:00,185.0,245.1,7212.0,EMA_REVERSAL
27,MIDCPNIFTY24JAN10700CE,2024-01-16 15:05:00,2024-01-17 09:25:00,130.0,80.5,-5940.0,EMA_REVERSAL
28,MIDCPNIFTY24JAN10500CE,2024-01-18 15:05:00,2024-01-20 12:35:00,60.7,215.35,18558.0,EMA_REVERSAL
29,MIDCPNIFTY24JAN10600PE,2024-01-20 15:00:00,2024-01-23 09:30:00,121.5,115.0,-780.0,EMA_REVERSAL
30,MIDCPNIFTY24FEB10800CE,2024-02-13 14:50:00,2024-02-14 09:15:00,128.55,112.5,-1926.0,EMA_REVERSAL
31,MIDCPNIFTY24FEB11000PE,2024-02-19 14:50:00,2024-02-20 15:00:00,135.55,111.15,-2928.0,EMA_REVERSAL
32,MIDCPNIFTY24FEB11000PE,2024-02-23 15:10:00,2024-02-26 13:05:00,35.05,19.25,-1896.0,EMA_REVERSAL
33,MIDCPNIFTY24APR10800PE,2024-04-15 15:20:00,2024-04-16 09:55:00,176.9,174.0,-348.0,EMA_REVERSAL
34,MIDCPNIFTY24MAY10800CE,2024-05-10 15:00:00,2024-05-13 09:35:00,191.35,226.8,4254.0,EMA_REVERSAL
35,MIDCPNIFTY24MAY11400CE,2024-05-21 15:20:00,2024-05-22 09:45:00,48.3,63.4,1812.0,EMA_REVERSAL
36,MIDCPNIFTY24MAY11300PE,2024-05-22 14:55:00,2024-05-22 15:15:00,62.45,95.75,3996.0,EMA_REVERSAL
37,MIDCPNIFTY24MAY11500CE,2024-05-23 15:15:00,2024-05-24 10:00:00,22.45,28.75,756.0,EMA_REVERSAL
38,MIDCPNIFTY24MAY11400PE,2024-05-24 14:55:00,2024-05-27 09:20:00,47.45,22.35,-3012.0,EMA_REVERSAL
39,MIDCPNIFTY24JUN11400CE,2024-05-31 15:20:00,2024-06-04 09:15:00,315.1,548.0,27948.0,EMA_REVERSAL
